frequency, MAG[S21]*MAG[21], MAG[S31]*MAG[31], MAG[S41]*MAG[41]
137.5,0.00013408018849,0.963210733489,0.00008675618449
138,0.0001265625,0.961368484036,0.0000914538379225
138.5,0.00011882744064,0.959770943041,0.0000958215843225
139,0.00011104312129,0.958521279681,0.00009985205476
139.5,0.00010334348964,0.957683403769,0.00010354690564
140,0.0000958431210025,0.957291998569,0.00010692180409
140.5,0.0000886260319396,0.957348747364,0.00010999394884
141,0.00008175957241,0.957836073481,0.00011279926849
141.5,0.0000752917173264,0.958719056164,0.00011537767396
142,0.0000692550182416,0.9599492529,0.00011777675625
142.5,0.0000636682709776,0.961462613764,0.00012006023184
143,0.0000585396372544,0.963195030625,0.00012229705744
143.5,0.0000538676730916,0.9650704644,0.00012456568881
144,0.0000496430158084,0.967014590161,0.00012695880976
144.5,0.0000458502328384,0.968952797316,0.00012957041241
145,0.0000424688125761,0.970812148804,0.00013250542321
145.5,0.0000394739528089,0.972525351889,0.00013587399225
146,0.0000368377377481,0.974032798761,0.00013979515225
146.5,0.0000345303140625,0.975284629225,0.00014437944964
147,0.0000325199889169,0.976234898116,0.00014974906384
147.5,0.0000307746453001,0.976857466321,0.00015601508836
148,0.0000292619329249,0.977136204004,0.00016328495089
148.5,0.0000279501485041,0.977063056225,0.00017165454289
149,0.0000268083701824,0.976649921536,0.00018121736689
149.5,0.00002580741601,0.975914797456,0.00019203862084
150,0.0000249198643204,0.974895567424,0.00020417266321
150.5,0.0000241221446449,0.973630172529,0.00021765691024
151,0.0000233895075129,0.9721762801,0.00023249540484
151.5,0.0000227016990369,0.970591454596,0.00024867397636
152,0.0000220407714576,0.968940985104,0.00026614333321
152.5,0.0000213916425121,0.967293887121,0.00028482975361
153,0.0000207414663184,0.9657189441,0.00030462117156
153.5,0.0000200799883449,0.964282756441,0.00032537305161
154,0.0000193990036249,0.963051747904,0.00034689435001
154.5,0.0000186925657801,0.962076531025,0.00036896263056
155,0.0000179567452516,0.961409665225,0.00039130774225
155.5,0.0000171890672409,0.961080240409,0.00041361797376
156,0.0000163889757889,0.961107690321,0.00043552350864
156.5,0.0000155571869476,0.961488108025,0.00045662561344
157,0.0000146959522609,0.962194237225,0.00047647468089
157.5,0.000013808656,0.963169513744,0.00049458201664
158,0.0000129002370561,0.964322036001,0.00051043009329
158.5,0.0000119766521329,0.965526342544,0.00052349897601
159,0.0000110453199025,0.966599652964,0.00053327741184
159.5,0.0000101150077681,0.967319458576,0.00053931237361
160,0.0000091958136516,0.967398142096,0.00054125091904
160.5,0.0000082993543396,0.966491508609,0.00053891301025
161,0.00000743871076,0.964196344225,0.00053238178756
161.5,0.0000066281532304,0.960055070976,0.00052209508036
162,0.0000058828562116,0.953560062016,0.00050898067236
162.5,0.0000052185290481,0.944185342864,0.00049455977769
163,0.0000046506216409,0.931406428836,0.00048107842225
163.5,0.0000041932800625,0.9147392164,0.00047156728336
164,0.0000038582387776,0.893794395649,0.00046990099984
164.5,0.0000036536028736,0.868314603556,0.00048073632049
165,0.0000035824647076,0.838233633601,0.00050936878864
165.5,0.0000036422959104,0.803697906064,0.00056151463369
166,0.00000382437136,0.765091343025,0.00064299266329
166.5,0.0000041141631556,0.723016892416,0.00075937722624
167,0.0000044922378601,0.678264250624,0.0009156676
167.5,0.0000049358620224,0.631742011684,0.00111603433041
168,0.0000054207480625,0.584411323024,0.00136369934089
168.5,0.0000059231877376,0.537208373025,0.00166087221444
169,0.0000064213080409,0.490983292804,0.00200893996944
169.5,0.0000068967163456,0.446455157929,0.00240860100625
170,0.0000073344555684,0.404183148516,0.00286019596864
170.5,0.0000077242861476,0.364559948944,0.00336393040036
171,0.0000080596371025,0.327828388969,0.00392016236544
171.5,0.0000083371942564,0.294094713025,0.00452954574361
172,0.0000085565610256,0.263355765124,0.00519330657316
172.5,0.0000087194412369,0.2355257961,0.00591324088576
173,0.0000088288613956,0.210462572644,0.00669187805521
173.5,0.0000088889844736,0.187984679184,0.0075325041
174,0.0000089044350409,0.167890145536,0.00843919659801
174.5,0.0000088800424036,0.149969533081,0.00941689745649
175,0.0000088206624016,0.134016030724,0.0104714289
175.5,0.0000087307839441,0.119829514896,0.011609416009
176,0.00000861481201,0.107222192704,0.012838476249
176.5,0.0000084766575609,0.096022515625,0.014167188676
177,0.0000083198210481,0.086070650884,0.015605256241
177.5,0.0000081474851844,0.077225631025,0.017163882121
178,0.0000079624988041,0.0693584896,0.018854859969
178.5,0.0000077672017809,0.062356582369,0.020691959409
179,0.0000075637650529,0.056117819664,0.022689698161
179.5,0.0000073540219489,0.050553475281,0.024865505344
180,0.0000071394771204,0.045584812036,0.027237541444
180.5,0.0000069215295744,0.041142442896,0.029826671616
181,0.0000067012123689,0.037164899524,0.032655381264
181.5,0.0000064794684304,0.033599256601,0.035749355625
182,0.0000062571020164,0.0303979225,0.0391367089
182.5,0.0000060347361649,0.027519823881,0.042849
183,0.0000058128727801,0.024927988996,0.046920758544
183.5,0.0000055919006784,0.022590991809,0.051390169636
184,0.0000053721504841,0.0204804721,0.056299900176
184.5,0.0000051538988484,0.018571693284,0.061697095321
185,0.000004937284,0.016842588841,0.067632763969
185.5,0.0000047224070721,0.015274240921,0.0741636289
186,0.0000045094221316,0.013849288489,0.081353300625
186.5,0.0000042983240976,0.0125529616,0.089268293284
187,0.0000040891310656,0.011371663044,0.097983398529
187.5,0.0000038819244676,0.0102941316,0.107578752064
188,0.0000036766528516,0.00930968327689,0.118139313796
188.5,0.0000034733404161,0.00840929348484,0.129757007524
189,0.0000032720468544,0.00758485969921,0.142527390784
189.5,0.0000030727986436,0.00682923737664,0.156550792225
190,0.0000028757715561,0.00613615288896,0.171929646736
190.5,0.0000026785904896,0.00550009123876,0.188766787729
191,0.0000024845325376,0.00491623943281,0.207158791609
191.5,0.00000229401316,0.00438034832964,0.227199035716
192,0.0000021074909584,0.00388878207201,0.248967069156
192.5,0.0000019255447696,0.00343836813376,0.2725257616
193,0.0000017487946564,0.00302638615876,0.297912922596
193.5,0.0000015779881924,0.002650499289,0.325136022849
194,0.0000014139112464,0.00230869679121,0.354161863225
194.5,0.0000012574033956,0.00199923448384,0.384914772225
195,0.0000011094198241,0.00172059869601,0.417259153936
195.5,0.000000970831854864,0.00147138986569,0.451008951184
196,0.000000842520216321,0.00125032252801,0.485912161476
196.5,0.000000725277063424,0.00105610050529,0.5216595076
197,0.000000619760988001,0.00088740835236,0.557890980241
197.5,0.000000526447471489,0.000742835025,0.594202014025
198,0.000000445592295729,0.00062083695556,0.630161305929
198.5,0.0000003771925056,0.00051973056576,0.665325705625
199,0.000000320970970849,0.00043768405681,0.699265560841
199.5,0.000000276379415524,0.00037274866489,0.731584276929
200,0.000000242619294096,0.000322884961,0.761935206321
200.5,0.0000002186778169,0.00028600897924,0.790038323281
201,0.000000203383862361,0.00026006400225,0.815690760336
201.5,0.0000001954612521,0.00024306369025,0.838770232336
202,0.000000193595600025,0.00023314846864,0.859234448601
202.5,0.000000196489179441,0.00022863254436,0.877118410116
203,0.000000202909707025,0.00022801604004,0.8925147729
203.5,0.000000211730660164,0.00023001968896,0.905574914689
204,0.000000221956881129,0.00023357314561,0.916484558224
204.5,0.000000232736775184,0.00023782266225,0.925453620025
205,0.000000243369555625,0.00024209181649,0.932703966756
205.5,0.000000253302837264,0.00024588748864,0.938466875025
206,0.000000262117376676,0.00024886009009,0.942961407844
206.5,0.000000269519837409,0.000250778896,0.946396263241
207,0.000000275324781796,0.00025151739649,0.9489682225
207.5,0.000000279436989924,0.00025102282969,0.950849263225
208,0.000000281839944996,0.00024931146816,0.952197349636
208.5,0.000000282580485889,0.00024643348324,0.953146069264
209,0.000000281756071249,0.00024247472656,0.953812016689
209.5,0.000000279500427684,0.00023753899129,0.954290626884
210,0.000000275975811556,0.00023174277361,0.954663830761
210.5,0.000000271319099689,0.00022521305041,0.954990199696
211,0.000000265775305156,0.000218064289,0.955322488836
